Date,Start Time,End Time,Time Taken,QUESTION LINK,Code Link,Rating,Description,Solved,Learning
01-06-2024,21:38:10,22:08:54,30 minutes,https://atcoder.jp/contests/abc338/tasks/abc338_c,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/ATC/PERMUTATIONS/C%20-%20Leftover%20Recipes.cpp,medium,distribute instances of object in 2 groups but need to take care of other ditributions as well,no,i thought that going through all the possible combinations of x and y is not feasable but it was
28-05-2024,21:38:10,22:08:54,30 minutes,https://codeforces.com/problemset/problem/1973/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/MAY/27%20MAY/Cat%2C%20Fox%20and%20the%20Lonely%20Array.cpp,,,,
28-05-2024,21:38:10,22:08:54,30 minutes,https://codeforces.com/problemset/problem/1927/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/MAY/27%20MAY/Find%20the%20Different%20Ones.cpp,,,,
28-05-2024,21:38:10,22:08:54,30 minutes,https://cses.fi/problemset/task/1635/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CSES/DP/Coin%20Combinations%20I.cpp,Medium,no of ways to achive a possible sum using coins,YES,easy
28-05-2024,21:38:10,22:08:54,30 minutes,https://cses.fi/problemset/task/1636,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CSES/DP/Coin%20Combinations%20II.cpp,Medium,ordered number of ways to achive a sum of x,NO,how to take care of ordered set printing
27-05-2024,21:38:10,22:08:54,30 minutes,https://cses.fi/problemset/task/1633,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CSES/DP/Dice%20Combinations.cpp,,find the number of ways to achive a sum s using 6 numbers [1 - 6],YES,easy
27-05-2024,21:38:10,22:08:54,30 minutes,https://cses.fi/problemset/result/9373731/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CSES/DP/Minimizing%20Coins.cpp,Medium,min no of coins required to achive the required sum (not a subset problem),YES,what values to return when in base case
29-05-2024,21:38:10,22:08:54,30 minutes,https://leetcode.com/problems/longest-palindromic-substring/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/DP/Longest%20Plaindromic%20Substring.cpp,Hard,find the longest palindromic substring,No,how to iterate over substrings of a string (2nd way)
29-05-2024,21:38:10,22:08:54,30 minutes,https://leetcode.com/problems/longest-palindromic-substring/description/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/DP/Manacher%20Algorithm.cpp,Hard,find the longest palindromic substring,No,how to find the longest palindromic substing in O(N) using Manacher's algorithm
30-05-2024,21:38:10,22:08:54,30 minutes,https://www.codechef.com/problems/SUMMODE,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/TOUGH%20ALGORITHMS/STRINGS/Binary%20string%20with%20equal%200s%20and%201s.cpp,Hard,Count the number of substrings with equal no of 0's and 1's,Obviously Not,Solving the question in O(N)
