Date,Start Time,End Time,Time Taken,QUESTION LINK,Code Link,Rating,Description,Solved,Learning
01-07-2024,13:15:34,14:42:41,87 minutes,https://codeforces.com/contest/1857/problem/G,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/G.%20Counting%20Graphs.cpp,2000,Find the number of graphs possible with a given MST and max edge weight,No,How to use union find with template and there is no need of merge if you use union find on a tree and you may need to tweak bin_pow according to your needs
01-07-2024,18:17:25,19:06:40,49 minutes,https://atcoder.jp/contests/dp/tasks/dp_s,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/ATC/DP/S%20-%20Digit%20Sum.cpp,Medium,find the number of integers in a range divisble by x,No,DIGIT DP
01-07-2024,20:18:08,20:28:26,10 minutes,https://codeforces.com/contest/1857/problem/E,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/E.%20Power%20of%20Points.cpp,1500,count the number of integers in a range,No,how to decompose the summation expression and use it
02-07-2024,12:51:22,,,https://codeforces.com/contest/1989/problem/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20Smithing%20Skill.cpp,1900,Find the max score you can get by forging wepons and melting them back,No,How to eleminate useless swords and how to choose correct swords [IMPORTANT]
02-07-2024,14:24:00,17:24:23,180 minutes,https://codeforces.com/contest/1830/problem/A,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/A.%20Copil%20Copac%20Draws%20Trees.cpp,1400,Find how many paases through the edge list is rquired to create the tree,No,How to maintain the history or count of pases [IMPORTANT]
02-07-2024,21:25:16,23:46:26,141 minutes,https://codeforces.com/contest/1741/problem/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20Masha%20and%20a%20Beautiful%20Tree.cpp,1300,Find the number of swaps required to make the array sorted,No,Learned to to calculate the min and max values for each subtree in an array
03-07-2024,11:38:26,11:43:57,5 minutes,https://cses.fi/problemset/task/1642/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CSES/SEARCHIN%20AND%20SORTING/Sum%20of%20Four%20Values.cpp,Easy,Find the indices of 4 numbers whose sum is equal to the required value,No,Learned how to enumberate over all the unique pairs in an array in a new way
03-07-2024,13:06:47,13:27:26,20 minutes,https://codeforces.com/problemset/problem/1985/F,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/F.%20Final%20Boss.cpp,1500,Standard question on binary search,No,"check function was important here also i learned that if i can perform an action in an interval of say x then in the duration of say t, i can perform the same action ((t-i)/x)+1 times."
03-07-2024,17:39:59,17:55:47,15 minutes,https://codeforces.com/contest/1761/problem/C,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/C.%20Set%20Construction.cpp,1400,Distribute a permutation to nodes in a graph such that each child is a propersubset of the parent and not connected nodes are not a subset of each other,No,Read the question properly and also in this question there was an observation that each set will contain the idx of the set in the set
04-07-2024,18:00:04,21:17:59,197 minutes,https://codeforces.com/contest/1973/problem/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/B.%20Cat%2C%20Fox%20and%20the%20Lonely%20Array.cpp,1300,Find the smallerst subarray length such that any subarray of the length will have same range OR,No,binary search was used and was tough to spot and also bit - manipulation was used
04-07-2024,21:34:40,21:52:43,18 minutes,https://codeforces.com/contest/1973/problem/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/B.%20Cat%2C%20Fox%20and%20the%20Lonely%20Array1.cpp,1300,,Yes,Another faster way to solve the same problem in O(nlogA) time where A is the largest element in the array
04-07-2024,23:19:18,23:50:13,30 minutes,https://codeforces.com/contest/1973/problem/C,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/C.%20Cat%2C%20Fox%20and%20Double%20Maximum.cpp,1700,Find a permutation such that adding this per to a given permutation give max no of peaks in another array where a[i] = p[i] + q[i],No,Observation is key as for any permutation we can generate a q which satisfies the condition and also assigning new values in q according the value in p was new learning
05-07-2024,09:55:34,10:51:32,55 minutes,https://codeforces.com/problemset/problem/1931/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20Divisible%20Pairs.cpp,1300,find number of pairs in the array such that their sum is divisible by x and their difference is divisible by b,No,How to use map to store history that too with 2 simlutaneous condition
05-07-2024,12:09:21,14:10:28,121 minutes,https://codeforces.com/problemset/problem/1931/E,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/E.%20Anna%20and%20the%20Valentine%27s%20Day%20Gift.cpp,1400,How many digits will be left in the last number in the array after some operations,Yes,"If you have to write more than 60 or 70 lines of code for a problem less than 1500 rating question then you porbably need to rethink for a different approach, the commented code is the previous thought"
05-07-2024,14:58:17,16:16:09,77 minutes,https://codeforces.com/contest/1915/problem/F,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/F.%20Greetings.cpp,1500,Find how many many people cross people on their right,Yes,got to know about Ordered set to use the feature of finding the position of an element in a set in O(log(n)) time
05-07-2024,22:17:55,23:59:28,101 minutes,https://codeforces.com/contest/1328/problem/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/B.%20K-th%20Beautiful%20String.cpp,1300,Find the k string with 2 b's and rest a's in lexographically ordering,No,i was not able to find the index of leftmost b quick enough
06-07-2024,00:17:45,00:25:43,7 minutes,https://codeforces.com/problemset/problem/1538/C,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/C.%20Number%20of%20Pairs.cpp,1300,find the number of pairs that lie within some sum range,Yes,Ordered set came in handy again and remember just as in set you cannot do lower_bound() - s.begin()
06-07-2024,00:37:21,00:42:30,5 minutes,https://codeforces.com/problemset/problem/1324/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20Pair%20of%20Topics.cpp,1400,find the number of pairs such that ai + aj > bi + bj,Yes,Yet another problem that was easily solved by ordered_Set
06-07-2024,13:09:46,13:52:24,42 minutes,https://codeforces.com/contest/445/problem/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/B.%20DZY%20Loves%20Chemistry.cpp,1400,Find the number of components using DSU,No,how to use dsu to find the number components
07-07-2024,10:24:04,11:24:07,60 minutes,https://codeforces.com/contest/1675/problem/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20Vertical%20Paths.cpp,1300,Find the minimal set of paths such that each node appears in only one path,Yes,"From each leaf we will climb up the tree until we meet a vertex already visited. Having met such a vertex, start a new path from the next leaf."
07-07-2024,19:05:44,19:28:48,23 minutes,https://codeforces.com/problemset/problem/1466/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%2013th%20Labour%20of%20Heracles.cpp,1500,find the max value of k colouring of the graph where each verted has a value,No,i had to think form the base case when we use only one colour and then build up the solution form that [IMPORTANT]
07-07-2024,21:55:09,22:11:14,16 minutes,https://codeforces.com/contest/1983/problem/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/B.%20Corner%20Twist.cpp,1100,find whether you can convert a matrix to b,Yes,brute force need practice as i was not able to think quickly
07-07-2024,20:49:46,21:36:47,47 minutes,https://codeforces.com/contest/1983/problem/C,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/C.%20Have%20Your%20Cake%20and%20Eat%20It%20Too.cpp,1400,Find whether you can distribute an array to 3 people (continuous subarray),Yes,Binary search and modulo arithmetic
08-07-2024,12:11:10,13:40:39,89 minutes,https://leetcode.com/problems/number-of-ways-to-select-buildings/description/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/DP/2222.%20Number%20of%20Ways%20to%20Select%20Buildings.cpp,Medium,find the numebr of ways of choosing 010 or 101 from a binary string,Yes,Decompose the bigger statement to an easier problem just as the description
08-07-2024,15:45:13,22:50:14,425 minutes,https://leetcode.com/problems/maximum-students-taking-exam/description/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/DP/1349.%20Maximum%20Students%20Taking%20Exam.cpp,Medium,Find the places where you can seat a studen so that they cannot cheat in an exam,Yes,"Leraned about digit dp, right now it is recurssive so gave TLE"
10-07-2024,17:15:15,18:15:15,60 minutes,https://leetcode.com/problems/greatest-sum-divisible-by-three/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/DP/1262.%20Greatest%20Sum%20Divisible%20by%20Three.cpp,Medium,Find the largest sum with the elements of the array whose sum is divisible by 3,No,Learned to keep mod in the state rather than the sum till now and return the sum from the function to optimise time complexity
11-07-2024,10:46:15,12:46:15,120 minutes,https://leetcode.com/problems/best-team-with-no-conflicts,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/DP/1626.%20Best%20Team%20With%20No%20Conflicts.cpp,Medium,find a team with max score such that the team does not have any conflict,Yes,you just needed the index of the last chosen player in the team after you sorted the array
11-07-2024,14:16:10,15:16:10,60 minutes,https://leetcode.com/problems/domino-and-tromino-tiling,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/DP/790.%20Domino%20and%20Tromino%20Tiling.cpp,Medium,Find the number of ways you can tile a floor using given tiles,No,"Got to know about a new satate paramete, very very IMPORTANT"
12-07-2024,12:34:04,12:49:46,15 minutes,https://codeforces.com/contest/1992/problem/E,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/E.%20Novice%27s%20Mistake.cpp,1200,Find the number of pairs a and b such that n*a(in string) - b == n*a - b,No,here you had to just iterate over 10 possible values of b and need not append the string n a times
12-07-2024,12:34:04,12:49:46,15 minutes,https://codeforces.com/contest/1992/problem/E,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/E.%20Novice%27s%20Mistake.cpp,1200,Find the number of pairs a and b such that n*a(in string) - b == n*a - b,No,here you had to just iterate over 10 possible values of b and need not append the string n a times
12-07-2024,14:23:04,16:23:04,120 minutes,https://codeforces.com/contest/1992/problem/F,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/F.%20Valuable%20Cards.cpp,1400,Find the minimum number of segments such that the producht any subset of each segments is != x,No,"this question was equal to subset product that is, whether there is a subset whose product is equal to the given product"
13-07-2024,10:32:35,15:38:49,306 minutes,https://codeforces.com/contest/476/problem/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/B.%20Dreamoon%20and%20WiFi.cpp,1300,Find the probabitlity of reaching required destination if +ve and -ve moves can be performed,No,practice of dp with bitmasking
14-07-2024,15:33:05,17:24:30,111 minutes,https://codeforces.com/problemset/problem/1385/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20a-Good%20String.cpp,1500,Find the minimum number of exchange required to make the string a-good,Yes,How to use dp and bitmask
