Date,Start Time,End Time,Time Taken,QUESTION LINK,Code Link,Rating,Description,Solved,Learning
01-07-2024,13:15:34,14:42:41,87 minutes,https://codeforces.com/contest/1857/problem/G,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/G.%20Counting%20Graphs.cpp,2000,Find the number of graphs possible with a given MST and max edge weight,No,How to use union find with template and there is no need of merge if you use union find on a tree and you may need to tweak bin_pow according to your needs
01-07-2024,18:17:25,19:06:40,49 minutes,https://atcoder.jp/contests/dp/tasks/dp_s,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/ATC/DP/S%20-%20Digit%20Sum.cpp,Medium,find the number of integers in a range divisble by x,No,DIGIT DP
01-07-2024,20:18:08,20:28:26,10 minutes,https://codeforces.com/contest/1857/problem/E,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/E.%20Power%20of%20Points.cpp,1500,count the number of integers in a range,No,how to decompose the summation expression and use it
02-07-2024,12:51:22,,,https://codeforces.com/contest/1989/problem/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20Smithing%20Skill.cpp,1900,Find the max score you can get by forging wepons and melting them back,No,How to eleminate useless swords and how to choose correct swords [IMPORTANT]
02-07-2024,14:24:00,17:24:23,180 minutes,https://codeforces.com/contest/1830/problem/A,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/A.%20Copil%20Copac%20Draws%20Trees.cpp,1400,Find how many paases through the edge list is rquired to create the tree,No,How to maintain the history or count of pases [IMPORTANT]
02-07-2024,21:25:16,23:46:26,141 minutes,https://codeforces.com/contest/1741/problem/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20Masha%20and%20a%20Beautiful%20Tree.cpp,1300,Find the number of swaps required to make the array sorted,No,Learned to to calculate the min and max values for each subtree in an array
03-07-2024,11:38:26,11:43:57,5 minutes,https://cses.fi/problemset/task/1642/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CSES/SEARCHIN%20AND%20SORTING/Sum%20of%20Four%20Values.cpp,Easy,Find the indices of 4 numbers whose sum is equal to the required value,No,Learned how to enumberate over all the unique pairs in an array in a new way
03-07-2024,13:06:47,13:27:26,20 minutes,https://codeforces.com/problemset/problem/1985/F,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/F.%20Final%20Boss.cpp,1500,Standard question on binary search,No,"check function was important here also i learned that if i can perform an action in an interval of say x then in the duration of say t, i can perform the same action ((t-i)/x)+1 times."
03-07-2024,17:39:59,17:55:47,15 minutes,https://codeforces.com/contest/1761/problem/C,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/C.%20Set%20Construction.cpp,1400,Distribute a permutation to nodes in a graph such that each child is a propersubset of the parent and not connected nodes are not a subset of each other,No,Read the question properly and also in this question there was an observation that each set will contain the idx of the set in the set
04-07-2024,18:00:04,21:17:59,197 minutes,https://codeforces.com/contest/1973/problem/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/B.%20Cat%2C%20Fox%20and%20the%20Lonely%20Array.cpp,1300,Find the smallerst subarray length such that any subarray of the length will have same range OR,No,binary search was used and was tough to spot and also bit - manipulation was used
04-07-2024,21:34:40,21:52:43,18 minutes,https://codeforces.com/contest/1973/problem/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/B.%20Cat%2C%20Fox%20and%20the%20Lonely%20Array1.cpp,1300,,Yes,Another faster way to solve the same problem in O(nlogA) time where A is the largest element in the array
04-07-2024,23:19:18,23:50:13,30 minutes,https://codeforces.com/contest/1973/problem/C,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/C.%20Cat%2C%20Fox%20and%20Double%20Maximum.cpp,1700,Find a permutation such that adding this per to a given permutation give max no of peaks in another array where a[i] = p[i] + q[i],No,Observation is key as for any permutation we can generate a q which satisfies the condition and also assigning new values in q according the value in p was new learning
05-07-2024,09:55:34,10:51:32,55 minutes,https://codeforces.com/problemset/problem/1931/D,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/JULY/D.%20Divisible%20Pairs.cpp,1300,find number of pairs in the array such that their sum is divisible by x and their difference is divisible by b,No,How to use map to store history that too with 2 simlutaneous condition
